SKU;NOMBRE; PRECIO ;FABRICANTE;CATEGORIA-LINEA;SUB-CATEGORIA;DESCRIPCION CORTA;DESCRIPCION LARGA;META TAGS;FICHA TECNICA;IMPUESTO;NOMBRE IMÁGENES DEL PRODUCTO;;;RUTA DE LAS IMAGENES;;;INVENTARIO
057;ESMALTE PARA UÑAS 04                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 04                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 04                                        ;ESMALTE PARA UÑAS 04                                        ;ESMALTE PARA UÑAS 04                                        ;;;;
058;ESMALTE PARA UÑAS 05                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 05                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 05                                        ;ESMALTE PARA UÑAS 05                                        ;ESMALTE PARA UÑAS 05                                        ;;;;
059;ESMALTE PARA UÑAS 06                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 06                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 06                                        ;ESMALTE PARA UÑAS 06                                        ;ESMALTE PARA UÑAS 06                                        ;;;;
060;ESMALTE PARA UÑAS 07                        TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                 ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 07                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 07                        TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                 ;ESMALTE PARA UÑAS 07                        TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                 ;ESMALTE PARA UÑAS 07                        TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                 ;;;;
061;ESMALTE PARA UÑAS 08                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 08                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 08                                        ;ESMALTE PARA UÑAS 08                                        ;ESMALTE PARA UÑAS 08                                        ;;;;
062;ESMALTE PARA UÑAS 09                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 09                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 09                                        ;ESMALTE PARA UÑAS 09                                        ;ESMALTE PARA UÑAS 09                                        ;;;;
063;ESMALTE PARA UÑAS 10                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 10                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 10                                        ;ESMALTE PARA UÑAS 10                                        ;ESMALTE PARA UÑAS 10                                        ;;;;
064;ESMALTE PARA UÑAS 100                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 100                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 100                                       ;ESMALTE PARA UÑAS 100                                       ;ESMALTE PARA UÑAS 100                                       ;;;;
065;ESMALTE PARA UÑAS 101                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 101                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 101                                       ;ESMALTE PARA UÑAS 101                                       ;ESMALTE PARA UÑAS 101                                       ;;;;
066;ESMALTE PARA UÑAS 102                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 102                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 102                                       ;ESMALTE PARA UÑAS 102                                       ;ESMALTE PARA UÑAS 102                                       ;;;;
067;ESMALTE PARA UÑAS 103                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 103                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 103                                       ;ESMALTE PARA UÑAS 103                                       ;ESMALTE PARA UÑAS 103                                       ;;;;
068;ESMALTE PARA UÑAS 104                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 104                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 104                                       ;ESMALTE PARA UÑAS 104                                       ;ESMALTE PARA UÑAS 104                                       ;;;;
069;ESMALTE PARA UÑAS 105                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 105                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 105                                       ;ESMALTE PARA UÑAS 105                                       ;ESMALTE PARA UÑAS 105                                       ;;;;
070;ESMALTE PARA UÑAS 106                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 106                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 106                                       ;ESMALTE PARA UÑAS 106                                       ;ESMALTE PARA UÑAS 106                                       ;;;;
071;ESMALTE PARA UÑAS 107                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 107                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 107                                       ;ESMALTE PARA UÑAS 107                                       ;ESMALTE PARA UÑAS 107                                       ;;;;
072;ESMALTE PARA UÑAS 108                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 108                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 108                                       ;ESMALTE PARA UÑAS 108                                       ;ESMALTE PARA UÑAS 108                                       ;;;;
073;ESMALTE PARA UÑAS 109                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 109                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 109                                       ;ESMALTE PARA UÑAS 109                                       ;ESMALTE PARA UÑAS 109                                       ;;;;
074;ESMALTE PARA UÑAS 11                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 11                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 11                                        ;ESMALTE PARA UÑAS 11                                        ;ESMALTE PARA UÑAS 11                                        ;;;;
075;ESMALTE PARA UÑAS 110                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 110                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 110                                       ;ESMALTE PARA UÑAS 110                                       ;ESMALTE PARA UÑAS 110                                       ;;;;
076;ESMALTE PARA UÑAS 111                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 111                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 111                                       ;ESMALTE PARA UÑAS 111                                       ;ESMALTE PARA UÑAS 111                                       ;;;;
077;ESMALTE PARA UÑAS 112                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 112                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 112                                       ;ESMALTE PARA UÑAS 112                                       ;ESMALTE PARA UÑAS 112                                       ;;;;
078;ESMALTE PARA UÑAS 113                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 113                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 113                                       ;ESMALTE PARA UÑAS 113                                       ;ESMALTE PARA UÑAS 113                                       ;;;;
079;ESMALTE PARA UÑAS 114                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 114                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 114                                       ;ESMALTE PARA UÑAS 114                                       ;ESMALTE PARA UÑAS 114                                       ;;;;
080;ESMALTE PARA UÑAS 115               TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                          ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 115                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 115               TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                          ;ESMALTE PARA UÑAS 115               TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                          ;ESMALTE PARA UÑAS 115               TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                          ;;;;
081;ESMALTE PARA UÑAS 116                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 116                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 116                                       ;ESMALTE PARA UÑAS 116                                       ;ESMALTE PARA UÑAS 116                                       ;;;;
082;ESMALTE PARA UÑAS 117                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 117                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 117                                       ;ESMALTE PARA UÑAS 117                                       ;ESMALTE PARA UÑAS 117                                       ;;;;
083;ESMALTE PARA UÑAS 118                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 118                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 118                                       ;ESMALTE PARA UÑAS 118                                       ;ESMALTE PARA UÑAS 118                                       ;;;;
084;ESMALTE PARA UÑAS 119                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 119                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 119                                       ;ESMALTE PARA UÑAS 119                                       ;ESMALTE PARA UÑAS 119                                       ;;;;
085;ESMALTE PARA UÑAS 12                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 12                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 12                                        ;ESMALTE PARA UÑAS 12                                        ;ESMALTE PARA UÑAS 12                                        ;;;;
086;ESMALTE PARA UÑAS 120                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 120                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 120                                       ;ESMALTE PARA UÑAS 120                                       ;ESMALTE PARA UÑAS 120                                       ;;;;
087;ESMALTE PARA UÑAS 121                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 121                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 121                                       ;ESMALTE PARA UÑAS 121                                       ;ESMALTE PARA UÑAS 121                                       ;;;;
088;ESMALTE PARA UÑAS 122                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 122                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 122                                       ;ESMALTE PARA UÑAS 122                                       ;ESMALTE PARA UÑAS 122                                       ;;;;
089;ESMALTE PARA UÑAS 123                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 123                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 123                                       ;ESMALTE PARA UÑAS 123                                       ;ESMALTE PARA UÑAS 123                                       ;;;;
090;ESMALTE PARA UÑAS 124                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 124                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 124                                       ;ESMALTE PARA UÑAS 124                                       ;ESMALTE PARA UÑAS 124                                       ;;;;
091;ESMALTE PARA UÑAS 125                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 125                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 125                                       ;ESMALTE PARA UÑAS 125                                       ;ESMALTE PARA UÑAS 125                                       ;;;;
092;ESMALTE PARA UÑAS 126                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 126                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 126                                       ;ESMALTE PARA UÑAS 126                                       ;ESMALTE PARA UÑAS 126                                       ;;;;
093;ESMALTE PARA UÑAS 127                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 127                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 127                                       ;ESMALTE PARA UÑAS 127                                       ;ESMALTE PARA UÑAS 127                                       ;;;;
094;ESMALTE PARA UÑAS 128                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 128                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 128                                       ;ESMALTE PARA UÑAS 128                                       ;ESMALTE PARA UÑAS 128                                       ;;;;
095;ESMALTE PARA UÑAS 129                     TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                   ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 129                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 129                     TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                   ;ESMALTE PARA UÑAS 129                     TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                   ;ESMALTE PARA UÑAS 129                     TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                   ;;;;
096;ESMALTE PARA UÑAS 13                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 13                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 13                                        ;ESMALTE PARA UÑAS 13                                        ;ESMALTE PARA UÑAS 13                                        ;;;;
097;ESMALTE PARA UÑAS 130                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 130                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 130                                       ;ESMALTE PARA UÑAS 130                                       ;ESMALTE PARA UÑAS 130                                       ;;;;
098;ESMALTE PARA UÑAS 131                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 131                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 131                                       ;ESMALTE PARA UÑAS 131                                       ;ESMALTE PARA UÑAS 131                                       ;;;;
099;ESMALTE PARA UÑAS 132                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 132                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 132                                       ;ESMALTE PARA UÑAS 132                                       ;ESMALTE PARA UÑAS 132                                       ;;;;
100;ESMALTE PARA UÑAS 133                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 133                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 133                                       ;ESMALTE PARA UÑAS 133                                       ;ESMALTE PARA UÑAS 133                                       ;;;;
101;ESMALTE PARA UÑAS 134                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 134                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 134                                       ;ESMALTE PARA UÑAS 134                                       ;ESMALTE PARA UÑAS 134                                       ;;;;
102;ESMALTE PARA UÑAS 135                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 135                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 135                                       ;ESMALTE PARA UÑAS 135                                       ;ESMALTE PARA UÑAS 135                                       ;;;;
103;ESMALTE PARA UÑAS 136                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 136                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 136                                       ;ESMALTE PARA UÑAS 136                                       ;ESMALTE PARA UÑAS 136                                       ;;;;
104;ESMALTE PARA UÑAS 137                                       ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 137                             ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 137                                       ;ESMALTE PARA UÑAS 137                                       ;ESMALTE PARA UÑAS 137                                       ;;;;
105;ESMALTE PARA UÑAS 14                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 14                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 14                                        ;ESMALTE PARA UÑAS 14                                        ;ESMALTE PARA UÑAS 14                                        ;;;;
106;ESMALTE PARA UÑAS 15                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 15                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 15                                        ;ESMALTE PARA UÑAS 15                                        ;ESMALTE PARA UÑAS 15                                        ;;;;
107;ESMALTE PARA UÑAS 16                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 16                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 16                                        ;ESMALTE PARA UÑAS 16                                        ;ESMALTE PARA UÑAS 16                                        ;;;;
108;ESMALTE PARA UÑAS 17                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 17                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 17                                        ;ESMALTE PARA UÑAS 17                                        ;ESMALTE PARA UÑAS 17                                        ;;;;
109;ESMALTE PARA UÑAS 18                     TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                     ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 18                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 18                     TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                     ;ESMALTE PARA UÑAS 18                     TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                     ;ESMALTE PARA UÑAS 18                     TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                     ;;;;
110;ESMALTE PARA UÑAS 19                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 19                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 19                                        ;ESMALTE PARA UÑAS 19                                        ;ESMALTE PARA UÑAS 19                                        ;;;;
111;ESMALTE PARA UÑAS 20                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 20                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 20                                        ;ESMALTE PARA UÑAS 20                                        ;ESMALTE PARA UÑAS 20                                        ;;;;
112;ESMALTE PARA UÑAS 21                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 21                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 21                                        ;ESMALTE PARA UÑAS 21                                        ;ESMALTE PARA UÑAS 21                                        ;;;;
113;ESMALTE PARA UÑAS 22                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 22                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 22                                        ;ESMALTE PARA UÑAS 22                                        ;ESMALTE PARA UÑAS 22                                        ;;;;
114;ESMALTE PARA UÑAS 23                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 23                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 23                                        ;ESMALTE PARA UÑAS 23                                        ;ESMALTE PARA UÑAS 23                                        ;;;;
115;ESMALTE PARA UÑAS 24                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 24                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 24                                        ;ESMALTE PARA UÑAS 24                                        ;ESMALTE PARA UÑAS 24                                        ;;;;
116;ESMALTE PARA UÑAS 25                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 25                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 25                                        ;ESMALTE PARA UÑAS 25                                        ;ESMALTE PARA UÑAS 25                                        ;;;;
117;ESMALTE PARA UÑAS 26                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 26                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 26                                        ;ESMALTE PARA UÑAS 26                                        ;ESMALTE PARA UÑAS 26                                        ;;;;
118;ESMALTE PARA UÑAS 27                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 27                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 27                                        ;ESMALTE PARA UÑAS 27                                        ;ESMALTE PARA UÑAS 27                                        ;;;;
119;ESMALTE PARA UÑAS 28                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 28                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 28                                        ;ESMALTE PARA UÑAS 28                                        ;ESMALTE PARA UÑAS 28                                        ;;;;
120;ESMALTE PARA UÑAS 29                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 29                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 29                                        ;ESMALTE PARA UÑAS 29                                        ;ESMALTE PARA UÑAS 29                                        ;;;;
121;ESMALTE PARA UÑAS 30                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 30                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 30                                        ;ESMALTE PARA UÑAS 30                                        ;ESMALTE PARA UÑAS 30                                        ;;;;
122;ESMALTE PARA UÑAS 31                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 31                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 31                                        ;ESMALTE PARA UÑAS 31                                        ;ESMALTE PARA UÑAS 31                                        ;;;;
123;ESMALTE PARA UÑAS 32                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 32                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 32                                        ;ESMALTE PARA UÑAS 32                                        ;ESMALTE PARA UÑAS 32                                        ;;;;
124;ESMALTE PARA UÑAS 33                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 33                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 33                                        ;ESMALTE PARA UÑAS 33                                        ;ESMALTE PARA UÑAS 33                                        ;;;;
125;ESMALTE PARA UÑAS 34                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 34                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 34                                        ;ESMALTE PARA UÑAS 34                                        ;ESMALTE PARA UÑAS 34                                        ;;;;
126;ESMALTE PARA UÑAS 35                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 35                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 35                                        ;ESMALTE PARA UÑAS 35                                        ;ESMALTE PARA UÑAS 35                                        ;;;;
127;ESMALTE PARA UÑAS 36                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 36                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 36                                        ;ESMALTE PARA UÑAS 36                                        ;ESMALTE PARA UÑAS 36                                        ;;;;
128;ESMALTE PARA UÑAS 37                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 37                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 37                                        ;ESMALTE PARA UÑAS 37                                        ;ESMALTE PARA UÑAS 37                                        ;;;;
129;ESMALTE PARA UÑAS 38              TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                            ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 38                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 38              TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                            ;ESMALTE PARA UÑAS 38              TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                            ;ESMALTE PARA UÑAS 38              TODAS ESTAS REFERENCIAS ESTAN CONDESADAS EN LAS IMÁGENES DE CARTA DE COLORES                                            ;;;;
130;ESMALTE PARA UÑAS 39                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 39                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 39                                        ;ESMALTE PARA UÑAS 39                                        ;ESMALTE PARA UÑAS 39                                        ;;;;
131;ESMALTE PARA UÑAS 40                                        ; $ 2.600 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ESMALTE PARA UÑAS 40                              ;;ESMALTES;;IVA 19%;ESMALTE PARA UÑAS 40                                        ;ESMALTE PARA UÑAS 40                                        ;ESMALTE PARA UÑAS 40                                        ;;;;
