SKU;NOMBRE; PRECIO ;FABRICANTE;CATEGORIA-LINEA;SUB-CATEGORIA;DESCRIPCION CORTA;DESCRIPCION LARGA;META TAGS;FICHA TECNICA;IMPUESTO;NOMBRE IMÁGENES DEL PRODUCTO;;;RUTA DE LAS IMAGENES;;;INVENTARIO
015;ACONDICIONADOR  AMALFI KERATINA 1000MIL                     ; $ 9.300 ;AMALFI                        ;CAPILAR;SHAMPOO;AC/DOR AMALFI KERATINA 1000MIL                    ;ACONDICIONADOR CON KERATINA, SUAVIZA EL CABELLO;ACONDICIONADOR;;IVA 19%;ACONDICIONADOR  AMALFI KERATINA 1000MIL                     ;ACONDICIONADOR  AMALFI KERATINA 1000MIL                     ;ACONDICIONADOR  AMALFI KERATINA 1000MIL                     ;;;;
016;ACONDICIONADOR  AMALFI NORMAL 750MIL                        ; $ 12.000 ;AMALFI                        ;CAPILAR;SHAMPOO;AC/DOR AMALFI NORMAL 750MIL                       ;ACONDICIONADOR CABELLOS NORMALES, SUAVIZA, DESENREDA Y DA BRILLO.;ACONDICIONADOR;;IVA 19%;ACONDICIONADOR  AMALFI NORMAL 750MIL                        ;ACONDICIONADOR  AMALFI NORMAL 750MIL                        ;ACONDICIONADOR  AMALFI NORMAL 750MIL                        ;;;;
017;ACONDICIONADOR COLA DE CABALLO 750ml                     ; $ 6.500 ;BACCIO                        ;CAPILAR;SHAMPOO;AC/DOR COLA DE CABALLO 750 (BC)                   ;ACONDICIONADOR COLA DE CABALLO, ROMERO Y QUINA, CUIDA Y DA BRILLO AL CABELLO.;ACONDICIONADOR;;IVA 19%;ACONDICIONADOR COLA DE CABALLO 750ml                     ;ACONDICIONADOR COLA DE CABALLO 750ml                     ;ACONDICIONADOR COLA DE CABALLO 750ml                     ;;;;
018;ACONDICIONADOR EMBRIÓN DE PATO 750ml                  ; $ 6.500 ;BACCIO                        ;CAPILAR;SHAMPOO;AC/DOR EMBRION DE PATO 750 (BC)                   ;ACONDICIONADOR CON EMBRIÓN DE PATO, ROMERO Y QUINA, CUIDA Y DA BRILLO AL CABELLO.;ACONDICIONADOR;;IVA 19%;ACONDICIONADOR EMBRIÓN DE PATO 750ml                  ;ACONDICIONADOR EMBRIÓN DE PATO 750ml                  ;ACONDICIONADOR EMBRIÓN DE PATO 750ml                  ;;;;
019;ACONDICIONADOR KERATINA 750ml                             ; $ 6.500 ;BACCIO                         ;CAPILAR;SHAMPOO;AC/DOR KERATINA 750 (BC)                          ;ACONDICIONADOR CON KERATINA, ROMERO Y QUINA, CUIDA Y DA BRILLO AL CABELLO.;ACONDICIONADOR;;IVA 19%;ACONDICIONADOR KERATINA 750ml                             ;ACONDICIONADOR KERATINA 750ml                             ;ACONDICIONADOR KERATINA 750ml                             ;;;;
020;CAPSULAS DE VITAMINA E Y ALOE VERA 60 APLICACIONES                     ; $ 31.900 ;NEVADA                   ;CORPORAL;TRATAMIENTO;VITAMINA E 60 CAPSULAS ALOE VERA + (NV)           ;CAPSULAS DE VITAMINA E Y ALOE VERA, SUAVIZA Y DA UN ASPECTO MÁS JOVEN A TU PIEL.;TRATAMIENTO;;IVA 19%;CAPSULAS DE VITAMINA E Y ALOE VERA 60 APLICACIONES                     ;CAPSULAS DE VITAMINA E Y ALOE VERA 60 APLICACIONES                     ;CAPSULAS DE VITAMINA E Y ALOE VERA 60 APLICACIONES                     ;;;;
021;CERA CAPILAR WAX & SHINE FOR MEN x 180                      ; $ 14.400 ;LABORATORIO SAENZ             ;CAPILAR;CERA;CERA CAPILAR WAX & SHINE FOR MEN x 180 (NV)       ;CERA CAPILAR WAX & SHINE PARA HOMBRE, CON KERATINA, SILICONA, UVA Y UVB.;CERA;;IVA 19%;CERA CAPILAR WAX & SHINE FOR MEN x 180                      ;CERA CAPILAR WAX & SHINE FOR MEN x 180                      ;CERA CAPILAR WAX & SHINE FOR MEN x 180                      ;;;;
022;CERA CAPILAR WAX & SHINE FOR WOMAN X 180                    ; $ 14.400 ;LABORATORIO SAENZ             ;CAPILAR;CERA;CERA CAPILAR WAX & SHINE FOR WOMAN X180 (NV)      ;CERA CAPILAR WAX & SHINE PARA MUJER CON KERATINA, SILICONA, UVA Y UVB.;CERA;;IVA 19%;CERA CAPILAR WAX & SHINE FOR WOMAN X 180                    ;CERA CAPILAR WAX & SHINE FOR WOMAN X 180                    ;CERA CAPILAR WAX & SHINE FOR WOMAN X 180                    ;;;;
023;CERA DEPILATORIA X 125 gr  KIWI                             ; $ 6.000 ;VID MORE                      ;CORPORAL;CERA;CERA DEPILATORIA X 125 KIWI (VM)                  ;;CERA;;IVA 19%;CERA DEPILATORIA X 125 gr  KIWI                             ;CERA DEPILATORIA X 125 gr  KIWI                             ;CERA DEPILATORIA X 125 gr  KIWI                             ;;;;
024;CERA DEPILATORIA X 125 gr CHOCOLATE                    ; $ 6.000 ;VID MORE                      ;CORPORAL;CERA;CERA DEPILATORIA X 125 CHOCOLATE (VM)             ;;CERA;;IVA 19%;CERA DEPILATORIA X 125 gr CHOCOLATE                    ;CERA DEPILATORIA X 125 gr CHOCOLATE                    ;CERA DEPILATORIA X 125 gr CHOCOLATE                    ;;;;
